Unnamed: 0,Country,Year,EG.CFT.ACCS.RU.ZS,EG.CFT.ACCS.UR.ZS,EG.ELC.ACCS.RU.ZS,EG.ELC.ACCS.UR.ZS,GC.XPN.COMP.CN,GC.XPN.COMP.ZS,NY.ADJ.AEDU.CD,NY.TTF.GNFS.KN,per_lm_alllm.adq_pop_tot,per_si_allsi.adq_pop_tot,SE.ADT.1524.LT.FE.ZS,SE.ADT.1524.LT.FM.ZS,SE.ADT.1524.LT.MA.ZS,SE.ADT.1524.LT.ZS,SE.ADT.LITR.FE.ZS,SE.ADT.LITR.MA.ZS,SE.ENR.PRIM.FM.ZS,SE.ENR.SECO.FM.ZS,SE.PRM.UNER,SE.PRM.UNER.FE,SE.PRM.UNER.FE.ZS,SE.PRM.UNER.MA,SE.PRM.UNER.MA.ZS,SE.SEC.UNER.LO.FE.ZS,SE.SEC.UNER.LO.MA.ZS,SE.SEC.UNER.LO.ZS,SE.XPD.SECO.ZS,SE.XPD.TERT.ZS,SH.DTH.INJR.ZS,SH.DTH.NCOM.ZS,SH.H2O.SMDW.ZS,SH.MED.CMHW.P3,SH.STA.ANVC.ZS,SH.STA.BASS.ZS,SH.STA.BRTC.ZS,SH.XPD.CHEX.PC.CD,SI.DST.50MD,SI.POV.MPUN,SL.EMP.MPYR.FE.ZS,SL.EMP.MPYR.MA.ZS,SL.EMP.MPYR.ZS,SL.EMP.WORK.FE.ZS,SL.EMP.WORK.MA.ZS,SL.TLF.0714.SW.FE.ZS,SL.TLF.0714.SW.MA.ZS,SL.TLF.0714.SW.ZS,SL.TLF.0714.WK.FE.ZS,SL.TLF.0714.WK.MA.ZS,SL.TLF.0714.WK.ZS,SL.TLF.0714.ZS,SL.UEM.ADVN.ZS,SL.UEM.BASC.ZS,SL.UEM.INTM.ZS,SL.WAG.0714.FE.ZS,SL.WAG.0714.MA.ZS,SL.WAG.0714.ZS,SP.ADO.TFRT,SP.M15.2024.FE.ZS,SP.M18.2024.FE.ZS,SP.MTR.1519.ZS,SP.POP.DPND.OL,SP.POP.DPND.YG
0,ABW,2000,,,100.0,100.0,,,75726749.5013877,,,,99.1663665771484,1.00286996364594,98.8817596435547,99.0264129638672,97.0713577270508,97.5373992919922,0.966870009899139,1.03342998027802,59.0,,,,,12.583270072937,7.9460301399231,10.2793302536011,27.69825,10.58496,,,,,,97.9731037869072,,,,,,,,,,,,,,,,,,,,,,,44.859,,,,9.909185887647672,33.30547295668247
1,ABW,2001,,,100.0,100.0,,,86352175.504874,,,,,,,,,,0.969399988651276,1.04673004150391,1.0,,,,,16.4353504180908,13.3284196853638,14.8881597518921,29.55082,12.16233,,,,,,98.0125082381901,,,,,,,,,,,,,,,,,,,,,,,40.543,,,,10.217942858943852,32.69930819294956
2,ABW,2002,,,100.0,100.0,,,85887084.3380439,,,,,,,,,,0.947759985923767,1.05376994609833,25.0,,,,,,,0.684260010719299,28.01178,11.84006,,,,,,98.051912689473,96.0,,,,,,,,,,,,,,,,,,,,,,36.813,,,,10.598497924149834,32.11581222496929
3,ABW,2003,,,100.0,100.0,,,100143063.816809,,,,,,,,,,0.931500017642975,1.04816997051239,56.0,,,,,2.78970003128052,4.70420980453491,3.74866008758545,,,,,,,,98.0913171407559,,,,,,,,,,,,,,,,,,,,,,,35.882,,,,10.970755920274154,31.48617706268345
4,ABW,2004,,,100.0,100.0,,,116820377.091318,,,,,,,,,,0.923409998416901,0.999769985675812,48.0,,,,,,,3.45685005187988,28.42047,10.97108,,,,,,98.1307215920388,,,,,,,,,,,,,,,,,,,,,,,35.0,,,,11.364258139040034,30.806760494877956
5,ABW,2005,,,100.0,100.0,,,106927002.786302,,,,,,,,,,0.938030004501343,1.00364005565643,23.0,,,,,,,2.35020995140076,26.76837,11.48529,,,,,,98.1701260433217,,,,,,,,,,,,,,,,,,,,,,,38.691,,,,11.775678440339371,30.35682050664902
6,ABW,2006,,,100.0,100.0,,,118376478.140783,,,,,,,,,,0.955470025539398,0.988430023193359,,,,,,,,,,,,,,,,98.2095304946046,,,,,,,,,,,,,,,,,,,,,,,41.694,,,,12.163913425588012,30.248908882367836
7,ABW,2007,,,100.0,100.0,,,99287625.6983242,,,,,,,,,,0.956110000610352,1.02982997894287,,,,,,,,1.19597995281219,,,,,,,,98.2489349458875,,,,,,,,,,,,,,,,,,,,,,,41.108,,,,12.536327024355703,30.246212400607785
8,ABW,2008,,,100.0,100.0,,,123504502.793296,,,,,,,,,,0.960789978504181,1.07120001316071,6.0,,,,,,,0.494069993495941,,,,,,,,98.2883393971704,,,,,,,,,,,,,,,,,,,,,,,39.81,,,,12.92462340926026,30.254372251362447
9,ABW,2009,,,100.0,100.0,,,136306776.536313,,,,,,,,,,0.971279978752136,1.04987001419067,154.0,,,,,2.83592009544373,7.81759023666382,5.37134981155396,,,,,,,,98.3277438484533,,,,,,,,,,,,,,,,,,,,,,,39.777,,,,13.349830685074238,30.223437816561027
